Objective,Policy,Scenario,IndexCol,PortCol,T_test_days,TE,MER,IR,CVaR5,CR,Sharpe,MDD,ATC,,,FW,Loss
EIT,NN-ST,rho0.005_normOFF,Index_rho0.005_normOFF,EIT_NN-ST_rho0.005_normOFF,1475,0.0072148,0.0001357,0.019,0.03,0.301,0.02,0.402,0.020436100699240928,,,1.3011205,0.0045015
EIT,NN-IR,rho0.005_normOFF,Index_rho0.005_normOFF,EIT_NN-IR_rho0.005_normOFF,1475,0.0065363,6e-07,0,0.026,0.108,0.012,0.378,0.010824323622772667,,,1.1079623,0.0065245
EIT,NN-ISR,rho0.005_normOFF,Index_rho0.005_normOFF,EIT_NN-ISR_rho0.005_normOFF,1475,0.0062119,-3.26E-05,-0.005,0.025,0.065,0.009,0.368,0.014 ,,,1.0652467,0.0068649
EIT,NN-All,rho0.005_normOFF,Index_rho0.005_normOFF,EIT_NN-All_rho0.005_normOFF,1475,0.0059511,5.61e-05,0.009,0.023,0.23,0.018,0.314,0.014 ,,,1.2300814,0.0048297
EIT,RO,rho0.005_normOFF,Index_rho0.005_normOFF,EIT_RO_rho0.005_normOFF,1475,0.0081795,-4.15E-05,-0.005,0.031,0.005,0.007,0.401,0.037 ,,,1.005121,0.0090101
EIT,NN-ST,rho0.005_normON,Index_rho0.005_normON,EIT_NN-ST_rho0.005_normON,1475,0.0103224,0.0001883,0.018,0.034,0.362,0.021,0.386,0.087 ,,,1.3615328,0.0065561
EIT,NN-IR,rho0.005_normON,Index_rho0.005_normON,EIT_NN-IR_rho0.005_normON,1475,0.0065363,6e-07,0,0.026,0.108,0.012,0.378,0.010824323622772667,,,1.1079623,0.0065245
EIT,NN-ISR,rho0.005_normON,Index_rho0.005_normON,EIT_NN-ISR_rho0.005_normON,1475,0.0062119,-3.26E-05,-0.005,0.025,0.065,0.009,0.368,0.014 ,,,1.0652467,0.0068649
EIT,NN-All,rho0.005_normON,Index_rho0.005_normON,EIT_NN-All_rho0.005_normON,1475,0.0072946,0.0001334,0.018,0.027,0.334,0.022,0.348,0.042 ,,,1.3342118,0.0046274
EIT,RO,rho0.005_normON,Index_rho0.005_normON,EIT_RO_rho0.005_normON,1475,0.0081795,-4.15E-05,-0.005,0.031,0.005,0.007,0.401,0.037 ,,,1.005121,0.0090101
EIT,NN-ST,rho0.0_normOFF,Index_rho0.0_normOFF,EIT_NN-ST_rho0.0_normOFF,1475,0.0072181,0.0001759,0.024,0.03,0.381,0.022,0.405,,,,1.3807677,0.0036998
EIT,NN-IR,rho0.0_normOFF,Index_rho0.0_normOFF,EIT_NN-IR_rho0.0_normOFF,1475,0.006536,1.87e-05,0.003,0.026,0.138,0.013,0.372,,,,1.1383751,0.0061624
EIT,NN-ISR,rho0.0_normOFF,Index_rho0.0_normOFF,EIT_NN-ISR_rho0.0_normOFF,1475,0.0062082,-4.30E-06,-0.001,0.025,0.111,0.012,0.357,,,,1.1114203,0.0062934
EIT,NN-All,rho0.0_normOFF,Index_rho0.0_normOFF,EIT_NN-All_rho0.0_normOFF,1475,0.0059427,7.19e-05,0.012,0.023,0.26,0.02,0.309,,,,1.2599636,0.0045046
EIT,RO,rho0.0_normOFF,Index_rho0.0_normOFF,EIT_RO_rho0.0_normOFF,1475,0.0081816,3.28e-05,0.004,0.031,0.122,0.013,0.383,,,,1.1217523,0.007526
EIT,NN-ST,rho0.0_normON,Index_rho0.0_normON,EIT_NN-ST_rho0.0_normON,1475,0.0099293,0.0002951,0.03,0.034,0.601,0.028,0.343,,,,1.6011745,0.0040266
EIT,NN-IR,rho0.0_normON,Index_rho0.0_normON,EIT_NN-IR_rho0.0_normON,1475,0.006536,1.87e-05,0.003,0.026,0.138,0.013,0.372,,,,1.1383751,0.0061624
EIT,NN-ISR,rho0.0_normON,Index_rho0.0_normON,EIT_NN-ISR_rho0.0_normON,1475,0.0062082,-4.30E-06,-0.001,0.025,0.111,0.012,0.357,,,,1.1114203,0.0062934
EIT,NN-All,rho0.0_normON,Index_rho0.0_normON,EIT_NN-All_rho0.0_normON,1475,0.0072053,0.000199,0.028,0.027,0.471,0.027,0.32,,,,1.4712168,0.0032257
EIT,RO,rho0.0_normON,Index_rho0.0_normON,EIT_RO_rho0.0_normON,1475,0.0081816,3.28e-05,0.004,0.031,0.122,0.013,0.383,,,,1.1217523,0.007526
IT,NN-ST,rho0.005_normOFF,Index_rho0.005_normOFF,IT_NN-ST_rho0.005_normOFF,1475,0.0063082,-8.00E-05,-0.013,0.021,0.028,0.007,0.336,0.011900762567958922,,,1.0279958,0.0063082
IT,NN-IR,rho0.005_normOFF,Index_rho0.005_normOFF,IT_NN-IR_rho0.005_normOFF,1475,0.0055762,-3.71E-05,-0.007,0.022,0.09,0.011,0.323,0.007 ,,,1.0904072,0.0055762
IT,NN-ISR,rho0.005_normOFF,Index_rho0.005_normOFF,IT_NN-ISR_rho0.005_normOFF,1475,0.0054895,-1.86E-05,-0.003,0.022,0.12,0.013,0.322,0.008 ,,,1.1203426,0.0054895
IT,NN-All,rho0.005_normOFF,Index_rho0.005_normOFF,IT_NN-All_rho0.005_normOFF,1475,0.0059645,4.8e-06,0.001,0.018,0.18,0.017,0.261,0.010430853457382615,,,1.1803977,0.0059645
IT,RO,rho0.005_normOFF,Index_rho0.005_normOFF,IT_RO_rho0.005_normOFF,1475,0.0049169,5.51e-05,0.011,0.021,0.247,0.02,0.325,0.009 ,,,1.2468924,0.0049169
IT,NN-ST,rho0.005_normON,Index_rho0.005_normON,IT_NN-ST_rho0.005_normON,1475,0.0054838,2.56e-05,0.005,0.025,0.157,0.014,0.349,0.022621523580760597,,,1.1570683,0.0054838
